"Document - Numéro du document";"Document - Code client";"Document - Code postal (facturation)";"Document - Ville (facturation)";"Document - Département (facturation)";"Document - Code Pays (facturation)";"Document - Date";"Document - Total Brut HT";"Document - Total TTC";"Ligne - Code article";"Ligne - Description commerciale en clair";"Ligne - Quantité";"Ligne - Montant Net HT";"Ligne - Montant Net TTC"
"FA00006131";"LAFORET77";"77380";"COMBS LA VILLE";"SEINE-ET-MARNE";"FR";"26/07/2021";"1250,00000000";"1500,00000000";"AR00002";"Changement montant d'échelle";"1,00000000";"1250,00000000";"1500,00000000"
"FA00006131";"LAFORET77";"77380";"COMBS LA VILLE";"SEINE-ET-MARNE";"FR";"26/07/2021";"1250,00000000";"1500,00000000";"";"";"";"";""
"FA00006131";"LAFORET77";"77380";"COMBS LA VILLE";"SEINE-ET-MARNE";"FR";"26/07/2021";"1250,00000000";"1500,00000000";"";"";"";"";""
"FA00006131";"LAFORET77";"77380";"COMBS LA VILLE";"SEINE-ET-MARNE";"FR";"26/07/2021";"1250,00000000";"1500,00000000";"TXT00004";"COORDONNÉES BANCAIRE
IBAN : FR76 3008 7338 3100 0204 5550 143
BIC : CMCIFRPP";"";"";""
"FA00006809";"IDCONCEPT22";"22680";"ETABLES SUR MER";"COTES-D'ARMOR";"FR";"10/08/2022";"1570,00000000";"1884,00000000";"";"Transféré de : Bon de livraison N° BL00002825 du 08/08/2022.";"";"";""
"FA00006809";"IDCONCEPT22";"22680";"ETABLES SUR MER";"COTES-D'ARMOR";"FR";"10/08/2022";"1570,00000000";"1884,00000000";"";"Transféré de : Commande N° CM00006135 du 13/06/2022.";"";"";""
"FA00006809";"IDCONCEPT22";"22680";"ETABLES SUR MER";"COTES-D'ARMOR";"FR";"10/08/2022";"1570,00000000";"1884,00000000";"";"Suivant devis N° DE0202";"";"";""
"FA00006809";"IDCONCEPT22";"22680";"ETABLES SUR MER";"COTES-D'ARMOR";"FR";"10/08/2022";"1570,00000000";"1884,00000000";"AR00001";"Fourniture de matériel de stockage d'occasion 
";"1,00000000";"1570,00000000";"1884,00000000"
"FA00005639";"PRANINTER";"76400";"ST LEONARD";"SEINE-MARITIME";"FR";"07/01/2021";"70,91000000";"85,09000000";"";"Transféré de : Commande N° CM00005127 du 09/12/2020.";"";"";""
"FA00005639";"PRANINTER";"76400";"ST LEONARD";"SEINE-MARITIME";"FR";"07/01/2021";"70,91000000";"85,09000000";"";"Suivant devis N° TR201207.1";"";"";""
"FA00005639";"PRANINTER";"76400";"ST LEONARD";"SEINE-MARITIME";"FR";"07/01/2021";"70,91000000";"85,09000000";"AR00002";"Fourniture de 6 panneaux de repérage de charges";"1,00000000";"70,91000000";"85,09000000"
"FA00005640";"DAST";"94000";"CRETEIL";"VAL-DE-MARNE";"FR";"07/01/2021";"26700,00000000";"32040,00000000";"";"Transféré de : Commande N° CM00005070 du 19/11/2020.";"";"";""
"FA00005640";"DAST";"94000";"CRETEIL";"VAL-DE-MARNE";"FR";"07/01/2021";"26700,00000000";"32040,00000000";"";"Suivant devis N° LL200904025D/B";"";"";""
"FA00005640";"DAST";"94000";"CRETEIL";"VAL-DE-MARNE";"FR";"07/01/2021";"26700,00000000";"32040,00000000";"AR00006";"Fourniture et mise en place d'une plate forme de stockage et rayonnages";"1,00000000";"26700,00000000";"32040,00000000"
"FA00005641";"G3CONCEPTS";"77500";"CHELLES CEDEX";"SEINE-ET-MARNE";"FR";"07/01/2021";"1125,00000000";"1350,00000000";"";"Transféré de : Commande N° CM00005144 du 17/12/2020.";"";"";""
"FA00005641";"G3CONCEPTS";"77500";"CHELLES CEDEX";"SEINE-ET-MARNE";"FR";"07/01/2021";"1125,00000000";"1350,00000000";"";"Suivant devis N° LL201204224D";"";"";""
"FA00005641";"G3CONCEPTS";"77500";"CHELLES CEDEX";"SEINE-ET-MARNE";"FR";"07/01/2021";"1125,00000000";"1350,00000000";"AR00004";"Fourniture de matériel de stockage neuf";"1,00000000";"1125,00000000";"1350,00000000"
"FA00005642";"COLIFRANCE";"77270";"VILLEPARISIS";"SEINE-ET-MARNE";"FR";"07/01/2021";"8845,00000000";"10614,00000000";"";"Transféré de : Commande N° CM00005145 du 17/12/2020.";"";"";""
"FA00005642";"COLIFRANCE";"77270";"VILLEPARISIS";"SEINE-ET-MARNE";"FR";"07/01/2021";"8845,00000000";"10614,00000000";"";"Suivant devis N° LL201204243D";"";"";""
"FA00005642";"COLIFRANCE";"77270";"VILLEPARISIS";"SEINE-ET-MARNE";"FR";"07/01/2021";"8845,00000000";"10614,00000000";"AR00004";"Fourniture de matériel de stockage neuf ";"1,00000000";"8845,00000000";"10614,00000000"
"FA00005643";"ALTRAD";"77680";"ROISSY EN BRIE";"SEINE-ET-MARNE";"FR";"07/01/2021";"11448,00000000";"13737,60000000";"";"Transféré de : Bon de livraison N° BL00002263 du 05/01/2021.";"";"";""
"FA00005643";"ALTRAD";"77680";"ROISSY EN BRIE";"SEINE-ET-MARNE";"FR";"07/01/2021";"11448,00000000";"13737,60000000";"";"Transféré de : Commande N° CM00005146 du 17/12/2020.";"";"";""
"FA00005643";"ALTRAD";"77680";"ROISSY EN BRIE";"SEINE-ET-MARNE";"FR";"07/01/2021";"11448,00000000";"13737,60000000";"AR00028";"Fourniture de 108 caisses Europol";"1,00000000";"11448,00000000";"13737,60000000"
"FA00005643";"ALTRAD";"77680";"ROISSY EN BRIE";"SEINE-ET-MARNE";"FR";"07/01/2021";"11448,00000000";"13737,60000000";"";"Suivant commande CA0120121039";"";"";""
"FA00005644";"HORIZON";"91940";"LES ULIS";"ESSONNE";"FR";"07/01/2021";"1610,00000000";"1932,00000000";"";"Transféré de : Commande N° CM00005115 du 04/12/2020.";"";"";""
"FA00005644";"HORIZON";"91940";"LES ULIS";"ESSONNE";"FR";"07/01/2021";"1610,00000000";"1932,00000000";"";"Suivant devis N°LL201104199D";"";"";""
"FA00005644";"HORIZON";"91940";"LES ULIS";"ESSONNE";"FR";"07/01/2021";"1610,00000000";"1932,00000000";"AR00003";"Fourniture et mise en place de matériel de stockage neuf";"1,00000000";"1610,00000000";"1932,00000000"
"FA00005651";"DIVERSPG";"51390";"VRIGNY";"MARNE";"FR";"13/01/2021";"360,00000000";"432,00000000";"";"Transféré de : Commande N° CM00005191 du 13/01/2021.";"";"";""
"FA00005651";"DIVERSPG";"51390";"VRIGNY";"MARNE";"FR";"13/01/2021";"360,00000000";"432,00000000";"AR00001";"Fourniture de 12 lisses de 2700 mm
";"1,00000000";"360,00000000";"432,00000000"
"FA00005652";"DELCOURT";"91540";"MENNECY";"ESSONNE";"FR";"13/01/2021";"860,00000000";"1032,00000000";"";"Transféré de : Commande N° CM00005192 du 13/01/2021.";"";"";""
"FA00005652";"DELCOURT";"91540";"MENNECY";"ESSONNE";"FR";"13/01/2021";"860,00000000";"1032,00000000";"";"V/REF COMMANDE N°000011771-ASR-2020022-TME";"";"";""
"FA00005652";"DELCOURT";"91540";"MENNECY";"ESSONNE";"FR";"13/01/2021";"860,00000000";"1032,00000000";"AR00002";"Fourniture de 54 plateaux fils";"1,00000000";"860,00000000";"1032,00000000"
"FA00005645";"CD2R";"93600";"AULNAY SOUS BOIS";"SEINE-ST-DENIS";"FR";"07/01/2021";"3761,00000000";"4513,20000000";"";"Transféré de : Bon de livraison N° BL00002260 du 22/12/2020.";"";"";""
"FA00005645";"CD2R";"93600";"AULNAY SOUS BOIS";"SEINE-ST-DENIS";"FR";"07/01/2021";"3761,00000000";"4513,20000000";"";"Transféré de : Commande N° CM00005130 du 10/12/2020.";"";"";""
"FA00005645";"CD2R";"93600";"AULNAY SOUS BOIS";"SEINE-ST-DENIS";"FR";"07/01/2021";"3761,00000000";"4513,20000000";"";"Suivant devis N° VP200103407D";"";"";""
"FA00005645";"CD2R";"93600";"AULNAY SOUS BOIS";"SEINE-ST-DENIS";"FR";"07/01/2021";"3761,00000000";"4513,20000000";"AR00001";"Fourniture de matériel de stockage
Cantilevers et rayonnages
";"1,00000000";"3761,00000000";"4513,20000000"
"FA00005653";"DIVERSLB";"77400";"LAGNY SUR MARNE";"SEINE-ET-MARNE";"FR";"18/01/2021";"150,00000000";"180,00000000";"AR00021";"6 lisses de 2700 mm JUNGHEINRICH
";"1,00000000";"150,00000000";"180,00000000"
"FA00005657";"RVZ";"94200";"IVRY SUR SEINE";"VAL-DE-MARNE";"FR";"18/01/2021";"7740,00000000";"9288,00000000";"";"Transféré de : Commande N° CM00005155 du 18/12/2020.";"";"";""
"FA00005657";"RVZ";"94200";"IVRY SUR SEINE";"VAL-DE-MARNE";"FR";"18/01/2021";"7740,00000000";"9288,00000000";"";"Suivant devis N° LL201204256D";"";"";""
"FA00005657";"RVZ";"94200";"IVRY SUR SEINE";"VAL-DE-MARNE";"FR";"18/01/2021";"7740,00000000";"9288,00000000";"AR00004";"Fourniture de matériel de stockage neuf ";"1,00000000";"7740,00000000";"9288,00000000"
"FA00005658";"CAILLOT";"51450";"BETHENY";"MARNE";"FR";"18/01/2021";"2500,00000000";"3000,00000000";"";"Transféré de : Commande N° CM00005170 du 05/01/2021.";"";"";""
"FA00005658";"CAILLOT";"51450";"BETHENY";"MARNE";"FR";"18/01/2021";"2500,00000000";"3000,00000000";"AR00010";"Fourniture de 142 lisses de 2700 mm";"1,00000000";"2500,00000000";"3000,00000000"
"FA00005659";"RAYSER";"77706";"MARNE LA VALLEE CEDEX 4";"SEINE-ET-MARNE";"FR";"18/01/2021";"60000,00000000";"72000,00000000";"";"Transféré de : Commande N° CM00005161 du 21/12/2020.";"";"";""
"FA00005659";"RAYSER";"77706";"MARNE LA VALLEE CEDEX 4";"SEINE-ET-MARNE";"FR";"18/01/2021";"60000,00000000";"72000,00000000";"";"Suivant commande N° CF2012-1357";"";"";""
"FA00005659";"RAYSER";"77706";"MARNE LA VALLEE CEDEX 4";"SEINE-ET-MARNE";"FR";"18/01/2021";"60000,00000000";"72000,00000000";"AR00006";"Fourniture d'une plate forme de stockage";"1,00000000";"60000,00000000";"72000,00000000"
"FA00005660";"IDLOG77";"13660";"ORGON";"BOUCHES-DU-RHONE";"FR";"19/01/2021";"13900,00000000";"16680,00000000";"";"V/REF COMMANDE N° 4500087564";"";"";""
"FA00005660";"IDLOG77";"13660";"ORGON";"BOUCHES-DU-RHONE";"FR";"19/01/2021";"13900,00000000";"16680,00000000";"AR00013";"Remise en Conformité de vos rayonnages site de VERT ST DENIS";"1,00000000";"13900,00000000";"16680,00000000"
"FA00005661";"4BDISTRIB";"77184";"EMERAINVILLE";"SEINE-ET-MARNE";"FR";"20/01/2021";"1288,00000000";"1545,60000000";"";"Transféré de : Commande N° CM00005184 du 11/01/2021.";"";"";""
"FA00005661";"4BDISTRIB";"77184";"EMERAINVILLE";"SEINE-ET-MARNE";"FR";"20/01/2021";"1288,00000000";"1545,60000000";"AR00001";"Enlèvement de
10 échelles de 3600 mm
24 lisses de 2700 mm
12 entretoises
chevilles
";"1,00000000";"1200,00000000";"1440,00000000"
"FA00005661";"4BDISTRIB";"77184";"EMERAINVILLE";"SEINE-ET-MARNE";"FR";"20/01/2021";"1288,00000000";"1545,60000000";"AR00012";"Complément de commande DE 8 sabots";"1,00000000";"88,00000000";"105,60000000"
"FA00005662";"AHFOOD";"95140";"GARGES LES GONESSE";"VAL-D'OISE";"FR";"20/01/2021";"8564,00000000";"10276,80000000";"";"Suivant devis N° FC200603750D";"";"";""
"FA00005662";"AHFOOD";"95140";"GARGES LES GONESSE";"VAL-D'OISE";"FR";"20/01/2021";"8564,00000000";"10276,80000000";"AR00002";"Fourniture de 16 lisses de 3600 mm et 550 plateaux fils";"1,00000000";"8564,00000000";"10276,80000000"
"FA00005664";"DIVERSLR";"52249";"ERSCHWEILLER";"";"DE";"22/01/2021";"1724,00000000";"1724,00000000";"";"Transféré de : Bon de livraison N° BL00002276 du 22/01/2021.";"";"";""
"FA00005664";"DIVERSLR";"52249";"ERSCHWEILLER";"";"DE";"22/01/2021";"1724,00000000";"1724,00000000";"";"Transféré de : Commande N° CM00005210 du 19/01/2021.";"";"";""
"FA00005664";"DIVERSLR";"52249";"ERSCHWEILLER";"";"DE";"22/01/2021";"1724,00000000";"1724,00000000";"AR00004";"Fourniture de matériel de stockage neuf et occasion
Suivant devis VP210104296D ";"1,00000000";"1724,00000000";"1724,00000000"
"FA00005665";"GAILLONS";"78440";"MONTALET LE BOIS";"YVELINES";"FR";"22/01/2021";"987,00000000";"1184,40000000";"";"Transféré de : Commande N° CM00005173 du 11/01/2021.";"";"";""
"FA00005665";"GAILLONS";"78440";"MONTALET LE BOIS";"YVELINES";"FR";"22/01/2021";"987,00000000";"1184,40000000";"";"Suivant devis N° TR210107.2";"";"";""
"FA00005665";"GAILLONS";"78440";"MONTALET LE BOIS";"YVELINES";"FR";"22/01/2021";"987,00000000";"1184,40000000";"AR00001";"Fourniture de matériel de stockage d'occasion 
27 plateaux fils
4 échelles de 5000 mm
18 lisses de 2700 mm
chevilles et goupilles
";"1,00000000";"987,00000000";"1184,40000000"
"FA00005666";"BRICOCASH";"76190";"YVETOT";"SEINE-MARITIME";"FR";"22/01/2021";"200,00000000";"240,00000000";"";"Transféré de : Commande N° CM00005213 du 22/01/2021.";"";"";""
"FA00005666";"BRICOCASH";"76190";"YVETOT";"SEINE-MARITIME";"FR";"22/01/2021";"200,00000000";"240,00000000";"AR00001";"Fourniture de matériel de stockage d'occasion 
4 Echelles de 3500
";"1,00000000";"200,00000000";"240,00000000"
"FA00005667";"4BDISTRIB";"77184";"EMERAINVILLE";"SEINE-ET-MARNE";"FR";"22/01/2021";"159,20000000";"191,04000000";"AR00001";"Fourniture de matériel de stockage d'occasion 
1 Echelle 3600
4 Lisses de 1850 mm
4 Plateaux bois
";"1,00000000";"159,20000000";"191,04000000"
"FA00005668";"DIVERSLR";"77580";"CRECY LA CHAPELLE";"SEINE-ET-MARNE";"FR";"22/01/2021";"700,00000000";"840,00000000";"";"Transféré de : Commande N° CM00005129 du 10/12/2020.";"";"";""
"FA00005668";"DIVERSLR";"77580";"CRECY LA CHAPELLE";"SEINE-ET-MARNE";"FR";"22/01/2021";"700,00000000";"840,00000000";"";"4 échelles de 4000 mm
12 lisses de 2700 mm
18 plateaux fils
chevilles";"1,00000000";"640,00000000";"768,00000000"
"FA00005668";"DIVERSLR";"77580";"CRECY LA CHAPELLE";"SEINE-ET-MARNE";"FR";"22/01/2021";"700,00000000";"840,00000000";"";"";"";"";""
"FA00005668";"DIVERSLR";"77580";"CRECY LA CHAPELLE";"SEINE-ET-MARNE";"FR";"22/01/2021";"700,00000000";"840,00000000";"";"";"";"";""
"FA00005668";"DIVERSLR";"77580";"CRECY LA CHAPELLE";"SEINE-ET-MARNE";"FR";"22/01/2021";"700,00000000";"840,00000000";"AR00001";"2 Lisses et 3 plateaux fils
";"1,00000000";"60,00000000";"72,00000000"
"FA00005669";"DIVERSLR";"95310";"ST OUEN L AUMONE";"VAL-D'OISE";"FR";"27/01/2021";"270,00000000";"324,00000000";"AR00001";"Fourniture de matériel de stockage d'occasion 
12 Lisses
100 Chevilles
";"1,00000000";"270,00000000";"324,00000000"
"FA00005671";"OPTILOG";"77127";"LIEUSAINT";"SEINE-ET-MARNE";"FR";"28/01/2021";"2850,00000000";"3420,00000000";"";"Transféré de : Commande N° CM00005157 du 18/12/2020.";"";"";""
"FA00005671";"OPTILOG";"77127";"LIEUSAINT";"SEINE-ET-MARNE";"FR";"28/01/2021";"2850,00000000";"3420,00000000";"AR00010";"Démontage de matériel de stockage
48 échelles
240 lisses
48 sabots";"1,00000000";"2850,00000000";"3420,00000000"
"FA00005672";"OPTILOG";"77127";"LIEUSAINT";"SEINE-ET-MARNE";"FR";"28/01/2021";"880,00000000";"1056,00000000";"";"Transféré de : Commande N° CM00005171 du 05/01/2021.";"";"";""
"FA00005672";"OPTILOG";"77127";"LIEUSAINT";"SEINE-ET-MARNE";"FR";"28/01/2021";"880,00000000";"1056,00000000";"";"Suivant devis N° ML201221";"";"";""
"FA00005672";"OPTILOG";"77127";"LIEUSAINT";"SEINE-ET-MARNE";"FR";"28/01/2021";"880,00000000";"1056,00000000";"AR00010";"Modification de 20 modules de rayonnages";"1,00000000";"880,00000000";"1056,00000000"
"FA00005673";"DUSHOW";"95734";"ROISSY CGD CEDEX";"";"FR";"28/01/2021";"311,00000000";"373,20000000";"";"Transféré de : Commande N° CM00005218 du 25/01/2021.";"";"";""
"FA00005673";"DUSHOW";"95734";"ROISSY CGD CEDEX";"";"FR";"28/01/2021";"311,00000000";"373,20000000";"AR00002";"Fourniture de 
6 UPN et 5 HEA

Suivant commande 21-0043";"1,00000000";"311,00000000";"373,20000000"
"FA00005674";"HEPPNER59";"59116";"HOUPLINES";"NORD";"FR";"28/01/2021";"3850,00000000";"4620,00000000";"";"Transféré de : Commande N° CM00005202 du 18/01/2021.";"";"";""
"FA00005674";"HEPPNER59";"59116";"HOUPLINES";"NORD";"FR";"28/01/2021";"3850,00000000";"4620,00000000";"";"Suivant devis N° ML210108";"";"";""
"FA00005674";"HEPPNER59";"59116";"HOUPLINES";"NORD";"FR";"28/01/2021";"3850,00000000";"4620,00000000";"AR00003";"Fourniture de 288 plateaux fils";"1,00000000";"3850,00000000";"4620,00000000"
"FA00005675";"ZIEGLER76";"59435";"RONCQ";"NORD";"FR";"28/01/2021";"400,00000000";"480,00000000";"";"Transféré de : Commande N° CM00005182 du 11/01/2021.";"";"";""
"FA00005675";"ZIEGLER76";"59435";"RONCQ";"NORD";"FR";"28/01/2021";"400,00000000";"480,00000000";"AR00002";"Mise en place de matériel de stockage ";"1,00000000";"400,00000000";"480,00000000"
"FA00005676";"ZIEGLER76";"59435";"RONCQ";"NORD";"FR";"28/01/2021";"28490,00000000";"34188,00000000";"";"Transféré de : Commande N° CM00005137 du 14/12/2020.";"";"";""
"FA00005676";"ZIEGLER76";"59435";"RONCQ";"NORD";"FR";"28/01/2021";"28490,00000000";"34188,00000000";"";"Suivant devis N° ML201207TER";"";"";""
"FA00005676";"ZIEGLER76";"59435";"RONCQ";"NORD";"FR";"28/01/2021";"28490,00000000";"34188,00000000";"AR00002";"Fourniture et mise en place de matériel de stockage site de ST ETIENNE DU ROUVRAY";"1,00000000";"28490,00000000";"34188,00000000"
"FA00005677";"ZIEGLER59";"59223";"RONCQ";"NORD";"FR";"28/01/2021";"14560,00000000";"17472,00000000";"";"Transféré de : Commande N° CM00005065 du 18/11/2020.";"";"";""
"FA00005677";"ZIEGLER59";"59223";"RONCQ";"NORD";"FR";"28/01/2021";"14560,00000000";"17472,00000000";"";"Suivant devis N° ML201022BIS";"";"";""
"FA00005677";"ZIEGLER59";"59223";"RONCQ";"NORD";"FR";"28/01/2021";"14560,00000000";"17472,00000000";"AR00013";"Rayonnages
Sabots et rives
pose neuf
Modification rayonnages";"1,00000000";"14560,00000000";"17472,00000000"
"FA00005682";"LANVIN";"75008";"PARIS 8EME ARRONDISSEMENT";"PARIS";"FR";"28/01/2021";"800,00000000";"960,00000000";"";"Transféré de : Commande N° CM00005193 du 13/01/2021.";"";"";""
"FA00005682";"LANVIN";"75008";"PARIS 8EME ARRONDISSEMENT";"PARIS";"FR";"28/01/2021";"800,00000000";"960,00000000";"AR00004";"Mise en place de matériel de stockage neuf site de PANTIN";"1,00000000";"800,00000000";"960,00000000"
"FA00005682";"LANVIN";"75008";"PARIS 8EME ARRONDISSEMENT";"PARIS";"FR";"28/01/2021";"800,00000000";"960,00000000";"";"";"";"";""
"FA00005682";"LANVIN";"75008";"PARIS 8EME ARRONDISSEMENT";"PARIS";"FR";"28/01/2021";"800,00000000";"960,00000000";"";"SUIVANT COMMANDE 6100066582";"";"";""
"FA00005690";"BRUNELEC";"77700";"CHESSY";"SEINE-ET-MARNE";"FR";"28/01/2021";"1000,00000000";"1200,00000000";"";"Transféré de : Bon de livraison N° BL00002272 du 20/01/2021.";"";"";""
"FA00005690";"BRUNELEC";"77700";"CHESSY";"SEINE-ET-MARNE";"FR";"28/01/2021";"1000,00000000";"1200,00000000";"";"Transféré de : Commande N° CM00005179 du 11/01/2021.";"";"";""
"FA00005690";"BRUNELEC";"77700";"CHESSY";"SEINE-ET-MARNE";"FR";"28/01/2021";"1000,00000000";"1200,00000000";"";"Suivant devis N° LL210104274D";"";"";""
"FA00005690";"BRUNELEC";"77700";"CHESSY";"SEINE-ET-MARNE";"FR";"28/01/2021";"1000,00000000";"1200,00000000";"AR00001";"Fourniture de matériel de stockage d'occasion 
";"1,00000000";"1000,00000000";"1200,00000000"
"FA00005697";"KLUBB";"77164";"FERRIERES";"SEINE-ET-MARNE";"FR";"28/01/2021";"960,00000000";"1152,00000000";"";"Transféré de : Bon de livraison N° BL00002270 du 19/01/2021.";"";"";""
"FA00005697";"KLUBB";"77164";"FERRIERES";"SEINE-ET-MARNE";"FR";"28/01/2021";"960,00000000";"1152,00000000";"";"Transféré de : Commande N° CM00005139 du 14/12/2020.";"";"";""
"FA00005697";"KLUBB";"77164";"FERRIERES";"SEINE-ET-MARNE";"FR";"28/01/2021";"960,00000000";"1152,00000000";"";"V/REF COMMANDE N° CF1811526";"";"";""
"FA00005697";"KLUBB";"77164";"FERRIERES";"SEINE-ET-MARNE";"FR";"28/01/2021";"960,00000000";"1152,00000000";"AR00002";"Fourniture de
5 lisses de 2700 mm
32 plateaux fils
chevilles";"1,00000000";"960,00000000";"1152,00000000"
"FA00005701";"RAYSER";"77706";"MARNE LA VALLEE CEDEX 4";"SEINE-ET-MARNE";"FR";"29/01/2021";"17175,00000000";"20610,00000000";"";"Transféré de : Commande N° CM00005189 du 13/01/2021.";"";"";""
"FA00005701";"RAYSER";"77706";"MARNE LA VALLEE CEDEX 4";"SEINE-ET-MARNE";"FR";"29/01/2021";"17175,00000000";"20610,00000000";"";"Suivant commande N° CF2101-1359";"";"";""
"FA00005701";"RAYSER";"77706";"MARNE LA VALLEE CEDEX 4";"SEINE-ET-MARNE";"FR";"29/01/2021";"17175,00000000";"20610,00000000";"AR00027";"Fourniture de cloisons grillagées";"1,00000000";"17175,00000000";"20610,00000000"
"FA00005702";"PATRELLE";"14168";"HOULGATE CEDEX";"CALVADOS";"FR";"29/01/2021";"8567,95000000";"10281,54000000";"";"Transféré de : Bon de livraison N° BL00002279 du 26/01/2021.";"";"";""
"FA00005702";"PATRELLE";"14168";"HOULGATE CEDEX";"CALVADOS";"FR";"29/01/2021";"8567,95000000";"10281,54000000";"";"Transféré de : Commande N° CM00005046 du 16/11/2020.";"";"";""
"FA00005702";"PATRELLE";"14168";"HOULGATE CEDEX";"CALVADOS";"FR";"29/01/2021";"8567,95000000";"10281,54000000";"AR00002";"Fourniture et mise en place de matériel de stockage accu";"1,00000000";"8567,95000000";"10281,54000000"
"FA00005703";"SFERIS";"75009";"PARIS 9EME ARRONDISSEMENT";"PARIS";"FR";"29/01/2021";"895,00000000";"1074,00000000";"";"Transféré de : Commande N° CM00005209 du 19/01/2021.";"";"";""
